grid_x,grid_y,predicted_sinr
29,26,27.49381569548697
30,26,27.49016472898049
31,26,27.48860547412279
32,26,27.488119386338603
33,26,27.488005286651624
34,26,27.487985669887024
35,26,27.48798358694802
36,26,27.487983613683888
37,26,27.487983682946407
38,26,27.487983700485543
39,26,27.487983703266803
0,27,27.487983710199924
1,27,27.48798383792703
2,27,27.48798581454724
3,27,27.488009262790122
4,27,27.48822205235882
5,27,27.489695286856534
6,27,27.49744766285461
7,27,27.528278563284488
8,27,27.620106708871646
9,27,27.821670206580063
10,27,28.1372374898159
11,27,28.461215243728862
12,27,28.61103378305245
13,27,28.481450749460414
14,27,28.14911457328647
15,27,27.78900211140726
16,27,27.521030793330368
17,27,27.365045534126445
18,27,27.289685062138062
19,27,27.250287572578934
20,27,27.20231379630269
21,27,27.12866430746916
22,27,27.06503748195398
23,27,27.07407495917172
24,27,27.177649486680963
25,27,27.32631879321297
26,27,27.44657913446883
27,27,27.50419241473164
28,27,27.51349005269049
29,27,27.504209019616404
30,27,27.49489547061792
31,27,27.490145579644935
32,27,27.488495019182256
33,27,27.488076088441066
34,27,27.487996478330224
35,27,27.48798504809004
36,27,27.487983809070485
37,27,27.48798370933942
38,27,27.487983703758214
39,27,27.487983703604247
0,28,27.487983708150498
1,28,27.487983796863624
2,28,27.487985177926923
3,28,27.48800163386218
4,28,27.48815144273101
5,28,27.48919080056068
6,28,27.49466601467423
7,28,27.5164416345311
8,28,27.581214932858952
9,28,27.722896914348887
10,28,27.942900536683428
11,28,28.16373989938562
12,28,28.25406291553785
13,28,28.1416335033674
14,28,27.889519585893574
15,28,27.63212086021046
16,28,27.455490413468166
17,28,27.35898546786606
18,28,27.29783732798387
19,28,27.226073925072864
20,28,27.114300387978567
21,28,26.969069171429997
22,28,26.85397204033401
23,28,26.86322272980743
24,28,27.033241791781816
25,28,27.286337256491176
26,28,27.492885833975755
27,28,27.58282552736122
28,28,27.578765883786055
29,28,27.541117016660493
30,28,27.510201025630597
31,28,27.494924685642356
32,28,27.489631166182704
33,28,27.488282824413773
34,28,27.48802536724835
35,28,27.487988160552327
36,28,27.487984069865448
