x,y
507,785
534,785
562,785
589,785
616,785
643,785
670,785
697,785
725,785
752,785
779,785
806,785
833,785
860,785
887,785
915,785
942,785
969,785
996,785
1023,785
1050,785
1078,785
19,811
46,811
73,811
100,811
127,811
154,811
181,811
209,811
236,811
263,811
290,811
317,811
344,811
372,811
399,811
426,811
453,811
480,811
507,811
534,811
562,811
589,811
616,811
643,811
670,811
697,811
725,811
752,811
779,811
806,811
833,811
860,811
887,811
915,811
942,811
969,811
996,811
1023,811
1050,811
1078,811
19,838
46,838
73,838
100,838
127,838
154,838
181,838
209,838
236,838
263,838
290,838
317,838
344,838
372,838
399,838
426,838
453,838
480,838
507,838
534,838
562,838
589,838
616,838
643,838
670,838
697,838
725,838
752,838
779,838
806,838
833,838
860,838
887,838
915,838
942,838
969,838
996,838
1023,838
1050,838
1078,838
19,864
46,864
73,864
100,864
127,864
154,864
181,864
209,864
236,864
263,864
290,864
317,864
344,864
372,864
399,864
426,864
453,864
480,864
507,864
534,864
562,864
589,864
616,864
643,864
670,864
697,864
725,864
752,864
779,864
806,864
833,864
860,864
887,864
915,864
942,864
969,864
996,864
1023,864
1050,864
1078,864
19,891
46,891
73,891
100,891
127,891
154,891
181,891
209,891
236,891
263,891
290,891
317,891
344,891
372,891
399,891
426,891
453,891
480,891
507,891
534,891
562,891
589,891
616,891
643,891
670,891
697,891
725,891
752,891
779,891
806,891
833,891
860,891
887,891
915,891
942,891
969,891
996,891
1023,891
1050,891
1078,891
19,918
46,918
73,918
100,918
127,918
154,918
181,918
209,918
236,918
263,918
290,918
317,918
344,918
372,918
399,918
426,918
453,918
480,918
507,918
534,918
562,918
589,918
616,918
643,918
670,918
697,918
725,918
752,918
779,918
806,918
833,918
860,918
887,918
915,918
942,918
969,918
996,918
1023,918
1050,918
1078,918
19,944
46,944
73,944
100,944
127,944
154,944
181,944
209,944
236,944
263,944
290,944
317,944
344,944
372,944
399,944
426,944
453,944
480,944
507,944
534,944
562,944
589,944
616,944
643,944
670,944
697,944
725,944
752,944
779,944
806,944
833,944
860,944
887,944
915,944
942,944
969,944
996,944
1023,944
1050,944
1078,944
19,971
46,971
73,971
