X,Y,Point_Index
230,925,1449
299,946,1450
309,961,1451
315,970,1452
344,971,1453
372,971,1454
399,971,1455
426,971,1456
453,971,1457
480,971,1458
507,971,1459
534,969,1460
565,975,1461
587,958,1462
611,953,1463
640,946,1464
679,965,1465
696,971,1466
718,966,1467
727,985,1468
785,951,1469
785,951,1470
785,951,1471
808,918,1472
808,918,1473
808,918,1474
808,918,1475
825,886,1476
830,878,1477
830,878,1478
830,878,1479
830,878,1480
230,925,1481
230,925,1482
230,925,1483
230,925,1484
230,925,1485
230,925,1486
230,925,1487
230,925,1488
230,925,1489
315,973,1490
320,989,1491
320,989,1492
346,997,1493
372,997,1494
399,997,1495
426,995,1496
453,997,1497
478,992,1498
488,992,1499
530,971,1500
565,976,1501
566,976,1502
611,953,1503
684,972,1504
693,985,1505
700,997,1506
715,998,1507
727,985,1508
785,951,1509
785,951,1510
785,951,1511
785,951,1512
808,918,1513
808,918,1514
808,918,1515
808,918,1516
825,886,1517
830,878,1518
830,878,1519
830,878,1520
230,925,1521
230,925,1522
230,925,1523
230,925,1524
230,925,1525
230,925,1526
230,925,1527
230,925,1528
320,989,1529
327,1011,1530
327,1011,1531
327,1011,1532
344,1022,1533
371,1024,1534
399,1024,1535
419,1023,1536
450,1018,1537
454,1016,1538
488,992,1539
516,974,1540
565,976,1541
566,976,1542
566,976,1543
698,994,1544
700,998,1545
700,998,1546
715,999,1547
715,999,1548
727,985,1549
785,951,1550
785,951,1551
785,951,1552
785,951,1553
785,951,1554
808,918,1555
808,918,1556
808,918,1557
808,918,1558
825,886,1559
830,878,1560
230,925,1561
230,925,1562
230,925,1563
230,925,1564
230,925,1565
230,925,1566
230,925,1567
327,1011,1568
327,1011,1569
327,1011,1570
341,1042,1571
341,1042,1572
342,1042,1573
371,1046,1574
392,1051,1575
411,1051,1576
443,1021,1577
454,1016,1578
488,992,1579
488,992,1580
565,976,1581
566,976,1582
566,976,1583
700,998,1584
700,998,1585
700,998,1586
715,999,1587
715,999,1588
715,999,1589
785,951,1590
785,951,1591
785,951,1592
785,951,1593
785,951,1594
785,951,1595
808,918,1596
808,918,1597
808,918,1598
808,918,1599
808,918,1600
